raw_csv_parameter_name,shape,direction,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason,observed_x_min,observed_x_max
MEASURE_ET_DC_SEC_X_Ron_FPSD3p2,complex_nonmonotonic,n/a,2.1651,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",14.927277,27.771919
SIN_ET_DC_RF_Vg_max_Vd,threshold,n/a,2.1631,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",42.2635,55.118149
MEASURE_ET_DC_Stress_Id_gm_max_after,complex_nonmonotonic,n/a,2.1593,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",384.974519,658.167057
MEASURE_ET_DC_Big_Imax,complex_nonmonotonic,n/a,2.1184,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",500.864553,844.848828
TOPSIN_ET_DC_RF_Gm_m0p2,complex_nonmonotonic,n/a,2.1154,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",387.360143,661.241443
TOPSIN_ET_DC_RF_Vg_max_Vd_0p1,threshold,n/a,2.115,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",55.404276,69.795262
FIC_ET_G_per_15,threshold,n/a,2.1149,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",75.031751,91.605244
MEASURE_ET_RF_Modeling_Gm_m0p2_W,complex_nonmonotonic,n/a,2.0491,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",393.519831,663.318691
TOPSIN_ET_DC_SMALL_Vg_gm_max,complex_nonmonotonic,n/a,2.0344,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",365.582599,656.29105
MEASURE_ET_DC_SEC_S_Bin_SD3p5,threshold,n/a,2.0205,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",81.326599,95.82738
TOPSIN_ET_Load_Pull_IG_comp_Last_uA,monotonic,positive,2.0093,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",28.81012,41.547283
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,threshold,n/a,1.9705,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",37.225331,51.070052
MEASURE_ET_R_400_VER,threshold,positive,1.97,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5.",85.661423,103.36063
BRGM_ET_TR_1F,complex_nonmonotonic,n/a,1.9507,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",379.29326,634.541824
MEASURE_ET_DC_PIV_Imax_QP2,complex_nonmonotonic,n/a,1.9501,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",504.919996,841.310772
MEASURE_ET_C200_0,complex_nonmonotonic,n/a,1.9476,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.519131,1.143758
MEASURE_ET_DC_SMALL_Vg_max_Vd,complex_nonmonotonic,n/a,1.941,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",4.718989,15.494552
MEASURE_ET_Load_Pull_PhL_meas,threshold,positive,1.9398,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",53.873111,67.756046
TOPSIN_ET_R514,complex_nonmonotonic,n/a,1.9383,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",8.693137,20.179124
MEASURE_ET_DC_RF_CF_S11_Ph_L1018,complex_nonmonotonic,n/a,1.9292,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-16.79551,-7.783287
THIN_ET_DC_RD_Vboff,threshold,n/a,1.8696,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",90.420424,106.194636
SIN_GATE_ET_Rc_OG144,complex_nonmonotonic,n/a,1.8638,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.117434,0.29914
TOPSIN_ET_DC_SMALL_Vbin_gd,monotonic,positive,1.8577,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",17.802403,38.396634
MEASURE_ET_DC_RF_Gm_m0p2_W,complex_nonmonotonic,n/a,1.8558,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",410.856641,652.780431
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_neg,complex_nonmonotonic,n/a,1.8504,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.638246,12.900631
MEASURE_ET_DC_RF_S21dB_26GHz_W,threshold,n/a,1.8499,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",11.553803,17.680764
SIN_GATE_ET_Ran_con_1,threshold,positive,1.8383,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",63.395321,77.412084
MEASURE_ET_DC_RF_Vg_gm_max_W,complex_nonmonotonic,n/a,1.829,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",399.153851,663.390049
THIN_ET_DC_RF_Vg_optt2,threshold,n/a,1.8159,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",51.885117,65.120428
MEASURE_ET_DC_SMALL_Vg_gm_max,complex_nonmonotonic,n/a,1.8082,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",404.378799,651.019807
MEASURE_ET_DC_RD_Ft,threshold,positive,1.7934,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",21.40795,33.909006
MEASURE_ET_DC_RF_S11dB_10GHz,complex_nonmonotonic,n/a,1.7879,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",-17.093463,-5.735501
TOPSIN_ET_DC_RF_Vds_max,complex_nonmonotonic,n/a,1.7836,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-1.70094,8.222246
MEASURE_ET_RF_Modeling_Cgs,threshold,positive,1.7545,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",89.226858,103.516155
MEASURE_ET_DC_RF2_S22ang_26GHz,complex_nonmonotonic,n/a,1.7498,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-19.05657,-7.386026
TOPSIN_ET_DC_RF_Vg_optt,threshold,n/a,1.7477,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",63.762638,82.216803
TOPSIN_ET_DC_SMALL_Gm_max,threshold,n/a,1.7368,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",396.25266,650.929051
MEASURE_ET_RF_Modeling_Idss_W,threshold,n/a,1.7299,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",244.438384,473.725403
THIN_ET_DC_RF_n_gs,threshold,positive,1.7192,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",60.67272,74.818927
TOPSIN_ET_R_f_tn_1,threshold,n/a,1.703,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",78.535488,92.50291
MEASURE_ET_DC_Big_S12ang_10GHz,complex_nonmonotonic,n/a,1.6901,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",-32.637454,-19.340055
MEASURE_ET_DC_RF_Max_S11_Mag_L2180,threshold,n/a,1.6642,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",11.940089,17.487133
MEASURE_ET_LT_SEC_Vg_Id_min,complex_nonmonotonic,n/a,1.6608,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",2.168842,13.78221
MEASURE_ET_Load_Pull_ID_comp_Last_mA,complex_nonmonotonic,n/a,1.6599,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",1.961526,11.742944
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg,threshold,n/a,1.6559,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",14.444401,27.457502
MEASURE_ET_DC_PIV_Imax_QP3,complex_nonmonotonic,n/a,1.6498,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",489.576228,832.471888
MEASURE_ET_DC_SEC_X_Vboff_Id,threshold,n/a,1.6417,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",88.849289,105.309608
MEASURE_ET_DC_SMALL_Idss,complex_nonmonotonic,n/a,1.6379,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",230.653189,475.933333
MEASURE_ET_DC_RF_Id_gm_max,complex_nonmonotonic,n/a,1.6277,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",386.121553,659.421202
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg1,complex_nonmonotonic,n/a,1.6175,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",48.937359,64.223821
TOPSIN_ET_DC_RF_Vg_max_Vd,complex_nonmonotonic,n/a,1.6138,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",1.893467,11.640307
THIN_ET_DC_RF_n_gd,threshold,n/a,1.5981,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",55.043118,69.719867
THIN_ET_DC_RF_Vg_optt3,complex_nonmonotonic,n/a,1.5967,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",1.743463,10.484837
TOPSIN_ET_C450pf_0,threshold,n/a,1.5958,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",85.644108,104.675134
MEASURE_ET_DC_RF_S12dB_26GHz,complex_nonmonotonic,n/a,1.5852,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-30.544442,-18.10069
TOPSIN_ET_R414,threshold,n/a,1.5759,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",4.421545,16.164964
TOPSIN_ET_C100CapM1BRGM,complex_nonmonotonic,n/a,1.5754,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",393.693165,643.182055
MEASURE_ET_RF_Modeling_Fmax_int,threshold,positive,1.5635,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",65.634188,80.085333
FIC_Height_FIC_metal_thickness,threshold,n/a,1.5615,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",1.790497,2.503757
MEASURE_ET_DC_SEC_S_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,threshold,positive,1.5564,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",81.402939,97.352212
MEASURE_ET_RF_Modeling_Vth,complex_nonmonotonic,n/a,1.5426,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-0.470861,11.174255
TFRP_ET_Rc_TF_AB_2,threshold,n/a,1.5406,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.115152,0.309207
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,threshold,n/a,1.5348,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",12.492788,17.410713
THIN_ET_DC_RF_Idss,complex_nonmonotonic,n/a,1.5323,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",245.772039,463.151194
FIC_ET_R214,threshold,positive,1.5257,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",47.165379,61.091354
SIN_ET_DC_RF_Vg_gm_max,complex_nonmonotonic,n/a,1.521,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",369.186737,661.866369
THIN_ET_Ran_con_2,complex_nonmonotonic,n/a,1.5021,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",22.265229,33.764305
MEASURE_ET_DC_SMALL_Vdg_max_0p1,complex_nonmonotonic,n/a,1.5006,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",31.180427,42.203986
THIN_ET_DC_RF_Id_gm_max,complex_nonmonotonic,n/a,1.489,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",382.398925,648.97248
THIN_ET_sh_f_hr_23,complex_nonmonotonic,n/a,1.4767,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-1.788325,8.105798
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_pos,threshold,positive,1.4531,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",88.397698,104.502821
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_FPSD3p2,complex_nonmonotonic,n/a,1.4406,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",4.476099,14.582807
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,threshold,n/a,1.4337,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-15.96019,-8.151792
MEASURE_ET_RF_Modeling_Cds,threshold,n/a,1.4175,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",14.145481,24.428625
FIC_ET_Id_mAmm_at_Vd_cond,threshold,n/a,1.4164,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",47.434584,58.83021
BRGM_ET_Rc_F_AB_2,complex_nonmonotonic,n/a,1.4101,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",384.178523,652.113066
MEASURE_ET_DC_RF_Idss_W,complex_nonmonotonic,n/a,1.4078,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",233.826381,474.926611
TOPSIN_ET_DC_RF_Vboff,threshold,positive,1.3945,5/5,4/5,STRONG,"Shape consistent in 5/5 folds, direction in 4/5.",83.868659,101.387209
TOPSIN_ET_C100CapUSV,complex_nonmonotonic,n/a,1.3944,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.523209,1.075322
MEASURE_ET_DC_RF2_S11dB_26GHz,complex_nonmonotonic,n/a,1.3931,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",-16.874186,-6.971069
MEASURE_ET_RF_Modeling_S21_25G_After,threshold,n/a,1.3853,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",11.532483,17.343755
FIC_ET_HIRS,threshold,positive,1.3843,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",52.327342,65.651998
MEASURE_ET_R_660_HOR,threshold,n/a,1.384,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",35.261204,47.59756
TOPSIN_ET_DC_RF_Vdg_max_0p1,threshold,n/a,1.3765,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",83.591243,98.604225
MEASURE_ET_DC_RF_S22dB_26GHz_W,complex_nonmonotonic,n/a,1.3673,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-17.536433,-5.661435
SIN_ET_Probe_Number,complex_nonmonotonic,n/a,1.3621,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.964741,5.191503
THIN_ET_R_f_hr_1,threshold,positive,1.3602,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",91.263566,107.212975
MEASURE_ET_DC_RF_Vbgd_0p1,threshold,positive,1.3584,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",18.680641,37.911166
THIN_ET_DC_RF_Vg_max_Vd_0p1mA,threshold,n/a,1.3539,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",67.088475,80.293897
THIN_ET_Rcat_cn_3_OW_ST,complex_nonmonotonic,n/a,1.3534,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.122173,0.321104
MEASURE_ET_Rsh_F_AB_2,threshold,n/a,1.3431,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",102.361535,132.375085
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos_FPSD3p2,complex_nonmonotonic,n/a,1.3314,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",52.368446,64.794053
MEASURE_ET_R_f_tn_1,complex_nonmonotonic,n/a,1.3217,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",3.34401,13.642599
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg_SD3p5,threshold,n/a,1.2976,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",91.172124,105.82071
OHMIC_ET_R114,threshold,n/a,1.2972,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",3.282238,12.866927
MEASURE_ET_Er,threshold,n/a,1.2964,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",52.67332,65.700118
ANODE_ET_Ran_con_1,complex_nonmonotonic,n/a,1.2957,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-1.407911,8.524653
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_pos_FPSD3p2,threshold,n/a,1.2957,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",70.200917,84.276101
MEASURE_ET_DC_Big_Vds_max,threshold,n/a,1.2799,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",65.103776,81.851694
THIN_ET_KLV_F_AB_4u,threshold,n/a,1.2797,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",23.863378,34.094727
MEASURE_ET_DC_RF_MAG_35GHz_W,threshold,n/a,1.2599,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",11.988348,18.010424
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg,threshold,positive,1.258,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",19.106779,29.025914
MEASURE_ET_DC_Stress_Vd_stress,complex_nonmonotonic,n/a,1.2539,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",7.850696,18.743586
MEASURE_ET_DC_SEC_S_Vg_at_I1_pos_SD3p5,threshold,n/a,1.2528,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",53.596032,69.486801
TOPSIN_ET_lkg_CapFICBRGM,complex_nonmonotonic,n/a,1.2514,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",404.449974,665.157774
TOPSIN_ET_Load_Pull_Freq,threshold,n/a,1.2393,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",38.613357,52.409107
MEASURE_ET_DC_SEC_X_Ids_max,threshold,n/a,1.2334,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",52.647568,66.415594
MEASURE_ET_DC_SEC_Vg_min_ON,threshold,n/a,1.2291,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",87.056586,101.768326
FIC_ET_DC_RF_Vg_max_Vd,complex_nonmonotonic,n/a,1.2253,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-3.324963,8.634272
MEASURE_ET_DC_Diode_S11_dB_forw,threshold,n/a,1.2158,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-18.821481,-2.981461
CATHODE_ET_Rsh_cat_c2,threshold,n/a,1.2028,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",103.063422,132.889025
THIN_ET_DC_RF_Vdg_max_0p1mA,complex_nonmonotonic,n/a,1.1942,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",45.04144,57.625127
MEASURE_ET_DC_SMALL_Vdg_max,threshold,n/a,1.1924,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",28.968445,39.718526
MEASURE_ET_DC_Stress_Id_max_Ig_before,threshold,n/a,1.1898,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",45.610117,57.845089
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg_SD3p5,threshold,n/a,1.1872,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",91.896539,106.700251
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3,threshold,n/a,1.1846,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",87.470167,103.857219
MEASURE_ET_DC_SEC_S_Ron_SD3p5,threshold,n/a,1.1572,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",37.393396,48.729065
MEASURE_ET_CapFICBRGM,threshold,n/a,1.1545,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",387.221022,661.591852
MEASURE_ET_LT_SEC_ChipStatus,threshold,n/a,1.0801,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",28.347175,37.903163
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,threshold,n/a,1.0783,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",-0.050258,0.063225
FIC_ET_DC_PIV_Ids0_QP3,threshold,n/a,1.0496,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",83.115018,97.409741
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_FPSD3p2,threshold,n/a,1.048,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",29.613413,42.325136
MEASURE_ET_DC_SMALL_n_gd,threshold,positive,1.0443,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",59.373797,74.071823
MEASURE_ET_DC_RF_Ids_m0p2,threshold,n/a,1.0365,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",57.87474,70.65936
TOPSIN_ET_GC_Igs,threshold,n/a,1.0303,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",87.458807,102.071611
GATE2_CD_358nm_Gate_Win_Length,threshold,n/a,1.0215,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.5111,0.592996
MEASURE_ET_Probe_Number,threshold,n/a,1.0177,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.963042,5.135748
SIN_GATE_ET_Rsh_an_ct2,threshold,n/a,1.008,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",101.194438,136.170812
MEASURE_ET_RF_Modeling_Gds_err,threshold,n/a,1.0076,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",25.989363,41.674675
MEASURE_ET_DC_SEC_S_Bin,threshold,positive,1.0032,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",60.395523,72.609991
MEASURE_ET_DC_RF_Vt_gd,complex_nonmonotonic,n/a,0.9975,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-0.174008,12.574366
