feature,classification,rationale,pearson_abs,spearman_abs,permutation_importance,shap_importance,pearson_rank,spearman_rank,permutation_rank,shap_rank,cluster_rank,cooccurrence_rank,fold_stability_cv,fold_top20_count
BRGM_ET_C300_0,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.028744006633343363,0.03805956428782142,0.0,0.0,1483.0,1413.0,1210.0,1471.0,221.0,1223.0,2.027626741667591,0
BRGM_ET_Cap_C300,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.040767942633008564,0.07480039230786167,7.5472463236664344e-06,4.123862411624476e-05,1381.0,1077.0,1032.0,1283.0,221.0,1223.0,1.576092248902619,0
BRGM_ET_F_AB,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.13913686277976364,0.15741497481587854,9.886003624995366e-06,2.2275268363207483e-05,518.0,410.0,997.0,1379.0,221.0,886.0,1.5580865746616583,0
BRGM_ET_i5021_1,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.09559331308767992,0.08339529037938781,0.0,0.0,833.0,994.0,1210.0,1471.0,221.0,1223.0,1.5685369265851474,0
BRGM_ET_i5021_2,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.06950530706116526,0.0791772899812607,0.0,0.0,1112.0,1038.0,1210.0,1471.0,221.0,1223.0,1.4135287511833439,0
BRGM_ET_i5021_3,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.0545265105943811,0.0653965626531331,-8.790885487927613e-06,1.3077725704096771e-05,1267.0,1176.0,1577.0,1432.0,221.0,886.0,2.1316977642471193,0
BRGM_ET_KLV_F_AB_4u,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.06139994110003689,0.04941394133424451,5.498103219872819e-05,0.0002828561946479857,1189.0,1319.0,699.0,708.0,221.0,411.0,1.122302550234158,0
BRGM_ET_KLV_F_M1_4u,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.05763135215347649,0.06348757301035586,8.936764264422248e-06,2.2928521865454376e-05,1232.0,1196.0,1011.0,1373.0,221.0,886.0,1.4179987794528448,0
BRGM_ET_lkg_C200,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.10881431800783153,0.12097082912099631,0.0,0.0,734.0,657.0,1210.0,1471.0,221.0,1223.0,1.2717283902281067,0
BRGM_ET_lkg_C300,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.07146127686459189,0.09511768684937773,0.0,0.0,1090.0,884.0,1210.0,1471.0,221.0,1223.0,2.2360679774997894,0
BRGM_ET_lkg_SY07_10,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.0943502700812844,0.11401557314311518,0.0,0.0,850.0,712.0,1210.0,1471.0,221.0,1223.0,1.7859651188116312,0
BRGM_ET_lkg_SY8_80,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.07567381725923542,0.1069627564605566,5.317592161990792e-07,2.5220628622086747e-05,1035.0,775.0,1200.0,1354.0,221.0,1223.0,1.4342875662663002,0
BRGM_ET_Probe_Number,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.13824806710553547,0.11545276010700813,4.6543066950757714e-05,0.0004109581904517139,524.0,702.0,730.0,613.0,846.0,27.0,0.8434274722316693,0
BRGM_ET_Rc_F_AB_2,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.03071563140673839,0.04973218035269119,9.498853755840475e-07,1.225089839179083e-05,1469.0,1312.0,1188.0,1435.0,221.0,886.0,1.1827579898412393,0
BRGM_ET_Rsh_F_AB_2,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.06846582578585782,0.10238607046482268,-8.79213682899449e-06,0.0001237164477510229,1124.0,806.0,1578.0,955.0,221.0,609.0,inf,0
BRGM_ET_TR_1F,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.08040212948383166,0.10160602929530604,0.0,0.0,978.0,816.0,1210.0,1471.0,221.0,1223.0,1.6666784804021832,0
CATHODE_ET_C_CAT_2,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.24091046482831205,0.18941355254637013,0.00045397215909336595,0.0007888502862807914,185.0,289.0,383.0,498.0,757.0,96.0,1.682604760698172,0
CATHODE_ET_C_CAT_2_OW_ST,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.16069446230438403,0.20920126358163027,6.20243848095281e-05,0.00014374211069764214,413.0,218.0,674.0,894.0,1035.0,133.0,1.1552120900673315,0
CATHODE_ET_Probe_Number,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.03905555412699263,0.029757570564279034,0.00026162565057068486,0.000742044039938458,1395.0,1487.0,456.0,508.0,764.0,191.0,1.3552005734801131,0
CATHODE_ET_Rc_cat_ct2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.22037201201608922,0.19470316505828908,0.00019735161542138168,0.0003938123300766605,217.0,261.0,502.0,631.0,774.0,886.0,1.9432356003246374,0
CATHODE_ET_Rc_cat_ct2_OW_ST,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.20266801783241428,0.17506590640814648,1.989369160096399e-06,3.131705621635004e-05,277.0,338.0,1154.0,1326.0,155.0,886.0,1.0612101746789944,0
CATHODE_ET_Rcat_cn_1,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.1700650164027543,0.1087712963572878,0.0005065287513271149,0.0014227192234484041,378.0,754.0,369.0,379.0,155.0,411.0,0.8516788203996033,0
CATHODE_ET_Rcat_cn_1_OW_ST,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.14687988391811446,0.06477008514405404,0.0,0.0,484.0,1183.0,1210.0,1471.0,155.0,1223.0,0.8014803249685265,0
CATHODE_ET_Rcat_cn_2,nonlinear_predictor,high SHAP/permutation importance despite weak linear/monotonic correlation -- signal is not capturable by Pearson/Spearman alone (e.g. process-window/threshold shape),0.1770948675097286,0.20594575842714324,0.050362079073638065,0.04397427333332839,351.0,225.0,13.0,13.0,155.0,1223.0,0.6228696668629896,3
CATHODE_ET_Rcat_cn_2_OW_ST,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.2388957763288135,0.18741322474955546,1.6516584272985303e-06,6.109901578460845e-06,190.0,295.0,1165.0,1467.0,155.0,1223.0,1.895971940717463,0
CATHODE_ET_Rcat_cn_3,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.20495223785116065,0.19062250524214522,3.1767691031797664e-05,6.049176947387401e-05,266.0,285.0,810.0,1191.0,155.0,609.0,1.0859970006022652,0
CATHODE_ET_Rcat_cn_3_OW_ST,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.20128896633948667,0.16568141110719226,4.2805785768010304e-05,0.00031982480275723863,282.0,370.0,749.0,681.0,155.0,609.0,1.7732678596690246,0
CATHODE_ET_Rsh_cat_c2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.11153357535656166,0.10123556529827347,8.041895484894867e-07,9.603652487086845e-06,702.0,821.0,1193.0,1451.0,1359.0,1223.0,1.0892000049814656,0
CATHODE_ET_Rsh_cat_c2_OW_ST,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.05455842659122024,0.0607029815989474,-2.773805895068815e-05,0.00019576894836096653,1265.0,1218.0,1651.0,809.0,976.0,886.0,1.0404443510976742,0
FIC_ET_Bad_Gates,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.1517955621491796,0.14072787187095925,0.006489863730571352,0.008407958192258869,454.0,523.0,67.0,79.0,469.0,1223.0,0.22629928100915006,0
FIC_ET_C100S1,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.029359579680955195,0.08711770906582769,0.0,0.0,1475.0,950.0,1210.0,1471.0,73.0,1223.0,1.0265305794424338,0
FIC_ET_C200_0S1,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.14851733183096041,0.12729471844286697,5.83901518186214e-05,0.00010250006361343731,478.0,604.0,688.0,1021.0,73.0,886.0,1.0313572564994746,0
FIC_ET_C200S1,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.08471136578267928,0.11345465464970776,-1.0687642254036954e-06,3.220962373663469e-05,942.0,720.0,1472.0,1321.0,73.0,886.0,0.6182309792763044,0
FIC_ET_FC_lin_4,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.11115614477882219,0.06967678855766038,2.299676715455945e-06,3.3816802444857255e-05,706.0,1117.0,1150.0,1315.0,1295.0,1223.0,1.306458191822572,0
FIC_ET_G_per_15,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.2100359101139866,0.16256302430073702,-1.2220436044074745e-05,0.0006891764141509364,251.0,388.0,1601.0,518.0,770.0,55.0,1.6308986648268307,0
FIC_ET_G_per_25,nonlinear_predictor,high SHAP/permutation importance despite weak linear/monotonic correlation -- signal is not capturable by Pearson/Spearman alone (e.g. process-window/threshold shape),0.3035849941555859,0.30122812063453,0.011990507021199377,0.009700587811073285,109.0,59.0,42.0,68.0,461.0,1223.0,0.8520700488254037,0
FIC_ET_G_per_2p75K,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.039761346190302874,0.03242926712836144,0.0024558687547456435,0.004265055613616732,1390.0,1457.0,165.0,168.0,529.0,191.0,0.6495698133223891,0
FIC_ET_G_per_6K,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.016995110905254567,0.06668818637883987,0.0004011823114579482,0.0013256709494300902,1564.0,1158.0,397.0,387.0,679.0,886.0,1.2968431495110488,0
FIC_ET_G2_per_6K,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.0984815616824508,0.0532717004971048,1.6264962928008718e-05,0.00010341432665479,812.0,1283.0,921.0,1016.0,1119.0,296.0,0.840031079000236,0
FIC_ET_Gate_res,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.09626066618790803,0.10965889875929623,0.0,0.0,824.0,750.0,1210.0,1471.0,1367.0,1223.0,1.0201257268957022,0
FIC_ET_Gm_m2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.11481451142171324,0.11506007271483264,0.003082554606833743,0.0034827171653060434,685.0,704.0,141.0,200.0,221.0,411.0,1.104461574938423,0
FIC_ET_Gm_max,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.1432127551096621,0.15843302854737593,0.0012255412000742928,0.0046600462270956575,499.0,404.0,250.0,147.0,221.0,411.0,1.5448573645106254,0
FIC_ET_GT_lin25,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.2077306696542129,0.21311591463605645,1.484849146768108e-05,5.7535744753683634e-05,256.0,205.0,942.0,1204.0,1235.0,609.0,1.417463094968902,0
FIC_ET_HIRS,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.22849998632750215,0.24575608178432423,0.00028754321315386524,0.0006277431956428342,203.0,146.0,444.0,536.0,788.0,296.0,1.3161597389515083,0
FIC_ET_Id_mAmm_at_Vd_cond,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.05041526330505387,0.08510782520910158,-7.04260277181179e-06,4.6832305997933184e-05,1306.0,970.0,1560.0,1247.0,1258.0,609.0,1.0624933622142871,0
FIC_ET_Ids_m2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.053480210496736194,0.06053297262610401,6.167013534923992e-05,8.520854684391888e-05,1275.0,1220.0,679.0,1086.0,1159.0,609.0,1.6862830905116188,0
FIC_ET_Ig_mAmm_at_Vd_cond,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.054441306242404904,0.01239220959959767,1.5390825016864396e-05,0.0007864662382359008,1268.0,1634.0,934.0,500.0,759.0,411.0,0.4194583055366809,0
FIC_ET_lkg_5,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.48733792182664265,0.3116837835813732,0.00012885298067009666,0.00035505522894303186,36.0,35.0,569.0,650.0,1.0,886.0,0.9215966660155737,0
FIC_ET_lkg_SY07_10,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.48471944951039225,0.33100969246556344,3.074720074200399e-06,9.839279766972171e-05,38.0,14.0,1131.0,1036.0,1.0,886.0,1.868330920973842,0
FIC_ET_lkg_SY8_80,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.49057265305827374,0.3513834344307425,0.0028375541714761032,0.00606702103785109,32.0,7.0,147.0,115.0,1.0,1223.0,1.1721540198504603,0
FIC_ET_OHMC,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.0788526504767514,0.06668463063561701,0.00023162171388745045,0.001005601511948806,996.0,1159.0,473.0,446.0,723.0,411.0,1.4701011663249202,0
FIC_ET_Probe_Number,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.06741685215287552,0.0392258480649221,0.00830279887725644,0.011049691730783963,1138.0,1401.0,55.0,57.0,454.0,1223.0,0.5273201196805728,0
FIC_ET_R_f_hr_1,weak_unstable_predictor,"weak on every signal (correlation, SHAP, permutation, cluster, co-occurrence) and never stable across folds",0.05585877340614088,0.008752684177040894,0.0,0.0,1254.0,1653.0,1210.0,1471.0,1367.0,1223.0,0.6964425384671138,0
FIC_ET_R_f_hr_2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.07877590495872648,0.04809276049299763,2.5917812636888637e-05,0.00010866387891526254,997.0,1331.0,840.0,1005.0,1111.0,886.0,1.2367317914065814,0
FIC_ET_R_f_hr_3,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.09536621053995128,0.04432611725022332,3.7277263739698974e-06,4.0008482099424096e-05,840.0,1367.0,1110.0,1291.0,1281.0,886.0,0.5063747150002482,0
FIC_ET_R_f_tn_1,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.052643697420829375,0.004704914985708589,4.480222785840926e-06,2.679560160312874e-05,1280.0,1677.0,1091.0,1346.0,1312.0,886.0,1.7072250363259889,0
FIC_ET_R_f_tn_2,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.2795453838792482,0.20533039261563565,0.0008579634450430973,0.0012779511847496993,133.0,228.0,308.0,395.0,684.0,69.0,1.001905449075702,0
FIC_ET_R_f_tn_3,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.13660800678799023,0.087638180980075,3.934726205716832e-05,0.00012642721798266604,538.0,945.0,767.0,946.0,1067.0,886.0,0.8261342187648364,0
FIC_ET_R114,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.02457947077687813,0.0038630927776946004,0.00025719162663800644,0.0008232691041123335,1509.0,1683.0,461.0,490.0,753.0,296.0,0.7022177884524958,0
FIC_ET_R214,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.09545917503825613,0.13658920899349236,8.182783399930115e-05,0.00012413226377043895,838.0,551.0,638.0,953.0,1074.0,609.0,1.2648782460911978,0
FIC_ET_R314,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.029110552833268258,0.025415341387302975,1.8197708334052876e-05,0.00016342092151087876,1477.0,1519.0,901.0,859.0,1008.0,411.0,1.5044028132188263,0
FIC_ET_Rc_f_hr_23,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.1458829928740602,0.0847415836571462,0.00018248524522126996,0.0016793940241923162,488.0,975.0,516.0,349.0,155.0,411.0,0.8612512092676897,0
FIC_ET_Rc_f_tn_23,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.16009599828171284,0.16075315100029725,0.0002863579459386811,0.0005555039673296863,416.0,396.0,445.0,559.0,155.0,609.0,0.9227609485166843,0
FIC_ET_Rc_OG142,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.13406034140258416,0.1022540634976737,6.652591207018666e-05,0.0005329695415829194,558.0,809.0,668.0,564.0,155.0,411.0,1.5708540387520205,0
FIC_ET_sh_f_hr_23,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.041768137846185174,0.02292898793871256,1.4644326184606871e-05,0.00013693953041153282,1366.0,1539.0,946.0,914.0,1048.0,411.0,0.3224924290793701,0
FIC_ET_sh_f_tn_23,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.1677748431612301,0.20739783506578194,0.004092120713694922,0.006871984059401035,383.0,220.0,102.0,99.0,485.0,1223.0,0.3466120690454085,0
FIC_ET_sh_GA142,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.17527675933796322,0.14236306928557563,-5.78025428252138e-05,0.00032442034531655927,356.0,516.0,1689.0,675.0,886.0,609.0,0.5838537191583812,0
FIC_ET_TANR,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.12462508849276463,0.12135951630204607,1.3041500873359203e-05,0.00011083774933177535,611.0,652.0,965.0,996.0,1106.0,609.0,1.7966651138493417,0
FIC_ET_TR_1F,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.13594763418725186,0.11012581229124906,-1.560141219850153e-05,8.341760487515318e-05,543.0,747.0,1624.0,1092.0,1163.0,886.0,1.5365194092345715,0
FIC_ET_Vd_at_Id_cut_cond,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.30490433443189136,0.25776204877633785,5.240396469349817e-05,0.00010530480297614469,108.0,129.0,711.0,1013.0,1117.0,609.0,0.542868972796088,0
FIC_ET_Vdg_max,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.08775252225518118,0.19760309589048927,1.4221011709911191e-05,9.380337182091393e-05,916.0,249.0,950.0,1054.0,1143.0,609.0,1.4644849770196298,0
FIC_ET_Vds_max,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.29020002273463436,0.30016606458064965,2.437135883198993e-05,0.00041422899181047705,122.0,60.0,848.0,610.0,843.0,609.0,1.4247845779720987,0
FIC_ET_Vg_gm_max,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.09065394880488366,0.09973993080515464,5.659028583096248e-05,0.00022649870954569707,889.0,837.0,693.0,763.0,221.0,886.0,1.7520397509737042,0
FIC_ET_Vg_Vds_max,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.271148945041481,0.2053423932490128,9.490181032159595e-06,0.00011358059909304714,143.0,227.0,1000.0,987.0,1100.0,609.0,0.964011399799019,0
FIC_ET_Vp_1,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.023526428405509035,0.020726427246097294,0.0,0.0,1522.0,1557.0,1210.0,1471.0,221.0,1223.0,0.9326147195867485,0
FIC_ET_DC_PIV_Drain_Lag_0,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.28135656521114727,0.22741244696545135,0.0,0.0,127.0,175.0,1210.0,1471.0,208.0,1223.0,1.6445878023763043,0
FIC_ET_DC_PIV_Drain_Lag_1,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.22127857832279074,0.16715482220516814,0.001803752876076692,0.005525780412109765,215.0,365.0,196.0,124.0,208.0,609.0,0.7650894368706542,0
FIC_ET_DC_PIV_Gate_Lag_0,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.2357789194067744,0.22623238468336201,-0.0001274785070819545,0.0016144483969350453,194.0,177.0,1704.0,357.0,208.0,96.0,0.856019658288047,0
FIC_ET_DC_PIV_Gate_Lag_1,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.2590251244774155,0.25938035641064566,0.003066361974402046,0.0054851254571207896,156.0,126.0,144.0,126.0,208.0,69.0,0.803565688606783,0
FIC_ET_DC_PIV_Ids0_QP1,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.11522364374214675,0.0358832272014748,-8.298035108903201e-05,0.0005586208130575007,681.0,1429.0,1696.0,558.0,805.0,19.0,1.144148272996381,0
FIC_ET_DC_PIV_Ids0_QP2,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.09844314860176558,0.16819065465277988,0.0004169898323284543,0.0014697668389233945,814.0,359.0,391.0,372.0,669.0,69.0,1.0692741369822891,0
