raw_csv_parameter_name,relationship_class,direction,turning_point_1,turning_point_2,beneficial_range,harmful_range,effect_size_yield_pct,shape_fold_consistency,n_fold_curves_used,linear_cv_rmse,spline_cv_rmse,rmse_improvement_pct,linear_cv_r2,spline_cv_r2,folds_spline_better,nonlinear_advantage,evidence_label,reason,n_train_rows_used
THIN_ET_lkg_70_at20V,THRESHOLD,negative,0.231829,,0.02238 to 0.2121,0.22 to 0.3306,5.6159,5/5,5,1.9675,1.935,1.648,0.2228,0.245,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2450).,1200
MEASURE_ET_lkg_Cap1,THRESHOLD,negative,0.17321,,0.0188 to 0.1941,0.2024 to 0.3443,5.6012,5/5,5,1.9712,1.9538,0.886,0.229,0.234,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2340).,1200
FIC_ET_lkg_5,THRESHOLD,negative,0.291781,,0.02644 to 0.1956,0.2033 to 0.3264,5.5579,5/5,5,1.9896,1.9095,4.024,0.2096,0.2656,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2656).,1200
GATE2_CD_Gate_Leg_Length,COMPLEX_NONLINEAR,n/a,0.205853,0.24862,0.2246 to 0.2673,0.1711 to 0.2192,5.4924,5/5,5,2.2574,2.2199,1.66,-0.0044,0.0252,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0252).,1200
SIN_GATE_ET_lkg_5,SATURATION,negative,0.314432,,0.02272 to 0.1705,0.1783 to 0.3261,5.4744,4/5,5,1.872,1.8218,2.678,0.2999,0.3318,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.3318).,1200
TOPSIN_ET_DC_PIV_Gate_Lag_1,SATURATION,negative,7.579431,,1.21 to 4.533,6.564 to 8.41,5.2856,5/5,5,2.1432,2.0445,4.606,0.0928,0.1687,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1687).,1200
MEASURE_ET_lkg_Cap2,THRESHOLD,negative,0.280173,,0.02099 to 0.1725,0.1805 to 0.332,5.2537,4/5,5,1.9564,1.897,3.037,0.2313,0.2713,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2713).,1200
SIN_GATE_ET_lkg_SY8_80,SATURATION,negative,0.238119,,0.02522 to 0.1651,0.1712 to 0.2625,5.1804,5/5,5,1.9687,1.9297,1.982,0.2276,0.2532,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2532).,1200
MEASURE_ET_Rc_an_ct2_OW_CR,COMPLEX_NONLINEAR,n/a,0.175266,0.247407,0.177 to 0.2388,0.2423 to 0.2732,5.1628,5/5,5,2.1784,2.0159,7.459,0.0628,0.2024,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2024).,1200
MEASURE_ET_lkg_C300M1B,COMPLEX_NONLINEAR,n/a,0.056481,0.110963,0.02146 to 0.216,0.2238 to 0.325,5.0026,5/5,5,2.0063,1.9088,4.861,0.1932,0.2618,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2618).,1200
SIN_ET_DC_RF_Vbin_gs,SATURATION,positive,23.368873,,24.51 to 33.6,20.93 to 24.18,4.9974,4/5,5,2.0952,1.9882,5.107,0.1288,0.2052,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2052).,1200
SIN_ET_lkg_SY8_80,THRESHOLD,negative,0.189706,,0.02149 to 0.1725,0.1794 to 0.2893,4.8654,5/5,5,1.9993,2.0246,-1.266,0.2069,0.1759,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1759).,1200
MEASURE_ET_C100Cap2pf,PROCESS_WINDOW,n/a,0.708473,,0.6237 to 0.9629,0.9759 to 1.067,4.8547,5/5,5,2.2525,2.0888,7.269,0.0013,0.1319,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1319).,1200
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,THRESHOLD,positive,0.059154,,0.02161 to 0.1718,0.1786 to 0.2879,4.8184,4/5,5,1.9831,1.8564,6.389,0.1997,0.2886,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2886).,1200
TOPSIN_ET_DC_PIV_Ids1_QP1,COMPLEX_NONLINEAR,n/a,14.195007,16.571077,12.57 to 14.95,15.17 to 17.11,4.8136,5/5,5,2.2124,2.101,5.035,0.0298,0.1024,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1024).,1200
TOPSIN_ET_lkg_C300pf,THRESHOLD,negative,0.141233,,0.01944 to 0.1501,0.1561 to 0.2511,4.7997,5/5,5,2.0014,1.9794,1.095,0.201,0.2131,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2131).,1200
TOPSIN_ET_lkg_Cap_USV,THRESHOLD,negative,0.145241,,0.0261 to 0.185,0.1929 to 0.3359,4.7887,4/5,5,1.9306,1.9194,0.581,0.2467,0.2524,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2524).,1200
TOPSIN_ET_lkg_SY8_80,THRESHOLD,negative,0.150612,,0.02359 to 0.1609,0.1678 to 0.2914,4.6487,5/5,5,1.9653,1.8599,5.359,0.2222,0.2926,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2926).,1200
MEASURE_ET_lkg_Cap_USV,THRESHOLD,negative,0.146364,,0.02327 to 0.1464,0.1528 to 0.2759,4.6475,4/5,5,1.9389,1.8586,4.143,0.2443,0.2986,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2986).,1200
THIN_ET_lkg_5,THRESHOLD,negative,0.131312,,0.023 to 0.1592,0.1654 to 0.2644,4.6406,5/5,5,2.0313,1.9986,1.61,0.1827,0.1971,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1971).,1200
MEASURE_ET_lkg_50,SATURATION,negative,0.244678,,0.02488 to 0.1655,0.1714 to 0.2535,4.6046,4/5,5,1.9132,1.8802,1.723,0.2587,0.2838,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2838).,1200
TOPSIN_ET_Cap_C300,COMPLEX_NONLINEAR,n/a,0.678159,0.822389,0.8168 to 0.9389,0.7281 to 0.8057,4.5809,5/5,5,2.2624,2.0968,7.317,-0.0082,0.1268,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1268).,1200
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,SATURATION,positive,21.511249,,24.62 to 28.58,21.23 to 24.43,4.5489,5/5,5,2.1211,2.0797,1.951,0.1124,0.1459,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1459).,1200
TOPSIN_ET_DC_RF_Vbin_gs,SATURATION,positive,33.280208,,26.66 to 34.33,20.73 to 26.31,4.4125,5/5,5,2.1816,2.1731,0.389,0.0592,0.0651,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0651).,1200
MEASURE_ET_DC_Diode_D_leak_65V,THRESHOLD,negative,0.304002,,0.02603 to 0.186,0.1936 to 0.323,4.4106,4/5,5,1.9576,1.9009,2.899,0.2302,0.2684,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2684).,1200
THIN_ET_C300_0,COMPLEX_NONLINEAR,n/a,0.694098,0.79359,0.777 to 0.9097,0.9207 to 1.009,4.3719,5/5,5,2.2422,2.0523,8.467,0.0109,0.1585,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1585).,1200
SIN_ET_DC_RF_Vg_max_Vd_0p1,SATURATION,positive,63.964895,,65.1 to 71.94,62.07 to 64.85,4.3506,5/5,5,2.1349,2.053,3.838,0.1025,0.1623,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1623).,1200
MEASURE_ET_LT_SEC_Ileak_m10V_mA_mm,THRESHOLD,negative,0.12446,,0.02483 to 0.1551,0.1628 to 0.3237,4.3222,5/5,5,1.9918,1.9913,0.029,0.2018,0.2,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2000).,1200
EBCR2_CD_Gate_Leg_Length,COMPLEX_NONLINEAR,n/a,0.163539,0.211633,0.2357 to 0.3532,0.1716 to 0.2303,4.2076,5/5,5,2.2576,2.2184,1.736,-0.0046,0.0304,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0304).,1200
TOPSIN_ET_Rc_f_tn_23,SATURATION,negative,0.284034,,0.1369 to 0.2624,0.2667 to 0.3057,4.1353,4/5,5,2.2206,2.1562,2.9,0.0288,0.0869,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0869).,1200
TOPSIN_ET_Cap3pf_0,COMPLEX_NONLINEAR,n/a,0.672943,0.928884,0.6788 to 0.9347,0.5857 to 0.6671,4.1231,5/5,5,2.2439,2.1572,3.862,0.0094,0.0775,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0775).,1200
MEASURE_ET_lkg_5,THRESHOLD,negative,0.122953,,0.0276 to 0.175,0.1836 to 0.3657,4.0913,5/5,5,1.9571,1.9507,0.329,0.2285,0.2309,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2309).,1200
SIN_ET_DC_RF_Vbgd1,SATURATION,positive,21.793314,,29.22 to 35,25.09 to 28.81,4.0706,4/5,5,2.1879,2.1644,1.075,0.056,0.0791,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0791).,1200
SIN_ET_DC_RF_Vbgd_0p01,SATURATION,positive,23.0533,,23.8 to 34.92,20.46 to 23.42,4.0617,4/5,5,2.1922,2.1764,0.722,0.0537,0.0609,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0609).,1200
MEASURE_ET_lkg_C300pf,THRESHOLD,negative,0.192915,,0.02505 to 0.1743,0.1817 to 0.316,4.0408,5/5,5,2.0039,1.9449,2.94,0.1991,0.2389,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2389).,1200
MEASURE_ET_C300FM1,SATURATION,negative,1.011507,,0.725 to 0.8419,0.9706 to 1.041,4.0028,5/5,5,2.2265,2.1942,1.449,0.0254,0.0529,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0529).,1200
THIN_ET_lkg_C300,MONOTONIC_NEGATIVE,negative,,,0.02073 to 0.163,0.1701 to 0.2982,3.9881,5/5,5,1.9431,1.9206,1.159,0.2429,0.2569,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2569).,1200
TOPSIN_ET_C300pf_0,COMPLEX_NONLINEAR,n/a,0.684643,0.799132,0.691 to 0.8309,0.8437 to 1.047,3.9859,5/5,5,2.2262,2.1511,3.375,0.0255,0.087,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0870).,1200
TOPSIN_ET_C100CapPARCAP,SATURATION,negative,0.252587,,0.1407 to 0.1934,0.1967 to 0.269,3.9449,5/5,5,2.1878,2.1486,1.789,0.0543,0.0871,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0871).,1200
TOPSIN_ET_DC_RF_Vbgd_0p1,SATURATION,positive,24.020872,,26.03 to 34.75,21.67 to 25.7,3.9407,5/5,5,2.1733,2.1323,1.885,0.0678,0.1021,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1021).,1200
TOPSIN_ET_lkg_Cap2,THRESHOLD,negative,0.146004,,0.02818 to 0.1556,0.1619 to 0.2766,3.9345,5/5,5,1.9522,1.904,2.467,0.2304,0.2591,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2591).,1200
MEASURE_ET_USV_Cappf_0,PROCESS_WINDOW,n/a,0.666079,,0.5533 to 0.7195,0.9094 to 1.016,3.8767,4/5,5,2.2464,2.0819,7.322,0.0084,0.1277,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.1277).,1200
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,SATURATION,negative,4.125599,,3.457 to 4.794,5.017 to 11.03,3.8676,4/5,5,2.2583,2.2071,2.266,-0.0053,0.0376,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0376).,1200
MEASURE_ET_DC_SMALL_Vbgs_0p01,SATURATION,positive,20.246926,,24.61 to 34.53,19.06 to 24.21,3.8515,5/5,5,2.1756,2.1505,1.153,0.0642,0.0872,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0872).,1200
MEASURE_ET_CapFICM1_0,COMPLEX_NONLINEAR,n/a,0.678068,0.827288,0.6097 to 0.734,0.9206 to 1.045,3.8513,5/5,5,2.2513,2.1417,4.866,0.0026,0.0902,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0902).,1200
THIN_ET_DC_RF_Vbgs_0p1,THRESHOLD,positive,25.182275,,25.73 to 34.93,20.58 to 25.37,3.83,5/5,5,2.0946,2.0341,2.889,0.1369,0.1869,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1869).,1200
MEASURE_ET_lkg_70_at20V,SATURATION,negative,0.077408,,0.02525 to 0.1782,0.1852 to 0.2965,3.8208,5/5,5,2.0261,1.9869,1.935,0.1772,0.2052,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2052).,1200
MEASURE_ET_lkg_C385pf,MONOTONIC_NEGATIVE,negative,,,0.02594 to 0.1737,0.1824 to 0.3649,3.7959,5/5,5,1.9529,1.9313,1.103,0.2347,0.2487,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2487).,1200
MEASURE_ET_RF_Modeling_Rgs_err,SATURATION,positive,57.071599,,59.57 to 64.78,56.31 to 59.35,3.7837,5/5,5,2.184,2.1574,1.219,0.0585,0.0833,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0833).,1200
MEASURE_ET_Vbpin,THRESHOLD,positive,34.993666,,31.61 to 35.15,22.59 to 26.78,3.7813,4/5,5,2.1728,2.155,0.822,0.068,0.0819,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0819).,1200
TOPSIN_ET_lkg_Cap1,THRESHOLD,negative,0.138799,,0.02005 to 0.1568,0.164 to 0.3007,3.7752,5/5,5,1.9447,1.9023,2.178,0.2394,0.2636,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2636).,1200
THIN_ET_DC_RF_Vg_optt3,COMPLEX_NONLINEAR,n/a,5.827502,7.726807,4.213 to 6.302,2.694 to 4.023,3.7683,4/5,5,2.251,2.139,4.975,0.0,0.0837,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0837).,1200
MEASURE_ET_Rc_OG142,COMPLEX_NONLINEAR,n/a,0.189913,0.23161,0.1236 to 0.1615,0.1653 to 0.2032,3.7393,5/5,5,2.2405,2.1514,3.976,0.0103,0.0893,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0893).,1200
TOPSIN_ET_lkg_5,THRESHOLD,negative,0.132014,,0.02672 to 0.1352,0.1416 to 0.2756,3.7343,5/5,5,1.919,1.8205,5.133,0.2488,0.3121,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.3121).,1200
MEASURE_ET_C385pf,SATURATION,positive,29.105669,,24.3 to 29.85,21.53 to 24.09,3.7145,5/5,5,2.1665,2.1432,1.075,0.0725,0.0908,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0908).,1200
SIN_ET_DC_RF_Vbgd_0p1,COMPLEX_NONLINEAR,n/a,23.384859,25.764874,27.29 to 30.69,23.89 to 26.95,3.7112,5/5,5,2.2197,2.1493,3.172,0.0306,0.0905,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0905).,1200
SIN_GATE_ET_lkg_SY07_10,THRESHOLD,negative,0.121671,,0.02723 to 0.1217,0.1295 to 0.2082,3.6574,5/5,5,2.0267,1.961,3.244,0.1833,0.2256,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2256).,1200
THIN_ET_Rcat_cn_2_OW_ST,SATURATION,negative,0.155518,,0.1328 to 0.1631,0.1669 to 0.2541,3.6405,5/5,5,2.2488,2.1756,3.255,0.0026,0.0674,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0674).,1200
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_SD3p5,SATURATION,positive,39.007317,,42.34 to 46.85,38.47 to 42.12,3.5561,5/5,5,2.1712,2.1428,1.306,0.0715,0.096,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0960).,1200
TOPSIN_ET_DC_RF_Vds_max,COMPLEX_NONLINEAR,n/a,3.876306,6.115426,4.212 to 6.451,-0.49 to 3.988,3.5106,5/5,5,2.2565,2.1457,4.912,-0.0038,0.0925,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0925).,1200
THIN_ET_Rcat_cn_1_OW_ST,COMPLEX_NONLINEAR,n/a,0.203545,0.288665,0.1699 to 0.255,0.2585 to 0.2904,3.5034,5/5,5,2.234,2.1201,5.096,0.0155,0.1124,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1124).,1200
MEASURE_ET_DC_SEC_Vboff_2_1,THRESHOLD,positive,15.786608,,11.39 to 16.3,9.341 to 11.18,3.4587,5/5,5,2.2433,2.1312,4.994,0.0089,0.106,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1060).,1200
THIN_ET_Rc_f_tn_23,THRESHOLD,positive,0.24645,,0.1262 to 0.215,0.2187 to 0.2705,3.4169,5/5,5,2.1888,2.1613,1.258,0.0537,0.0791,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0791).,1200
MEASURE_ET_lkg_100_at20V,SATURATION,negative,0.211775,,0.02463 to 0.1369,0.1423 to 0.2332,3.3861,5/5,5,2.0259,1.9747,2.53,0.1777,0.2155,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2155).,1200
FIC_ET_G_per_2p75K,SATURATION,positive,13.127113,,7.08 to 9.214,9.451 to 12.3,3.3738,4/5,5,2.251,2.2298,0.942,0.0006,0.0168,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0168).,1200
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,SATURATION,positive,88.828737,,91.51 to 98.48,88.02 to 91.24,3.3674,5/5,5,2.1607,2.0593,4.692,0.0774,0.1546,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1546).,1200
MEASURE_ET_Rcat_cn_2,PROCESS_WINDOW,n/a,0.248625,,0.1801 to 0.2539,0.2574 to 0.2855,3.3574,5/5,5,2.2317,2.1152,5.219,0.0188,0.1217,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1217).,1200
MEASURE_ET_DC_RF_Vbgs_0p1,COMPLEX_NONLINEAR,n/a,29.183667,31.152483,26.39 to 33.61,20.82 to 26.07,3.3566,5/5,5,2.1165,1.9892,6.012,0.1162,0.2084,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2084).,1200
MEASURE_ET_RF_Modeling_Gm_m0p2_W,COMPLEX_NONLINEAR,n/a,496.963795,557.587211,571.4 to 632,510.7 to 565.9,3.3559,5/5,5,2.2249,2.1401,3.813,0.0249,0.0999,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0999).,1200
