parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1236,2.0778,2.158,0.11,0.1478,0.0378,5/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0378."
SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_Cap3pf,TOPSIN_ET_Load_Pull_Id_ini,a_chaining_confirmed_pairs,2.2211,2.1353,3.861,0.0222,0.0971,0.0749,5/5,"SIN_CAPACITOR_ThicknessGN1_SiN_Thickness=low, TOPSIN_ET_Cap3pf=low, TOPSIN_ET_Load_Pull_Id_ini=high","SIN_CAPACITOR_ThicknessGN1_SiN_Thickness=low, TOPSIN_ET_Cap3pf=low, TOPSIN_ET_Load_Pull_Id_ini=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0749."
SIN_GATE_ET_lkg_5,THIN_ET_TF_AB_2,THIN_ET_lkg_5,c_residual_conditional_structure,2.1106,2.1,0.505,0.1175,0.127,0.0095,5/5,"SIN_GATE_ET_lkg_5=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","SIN_GATE_ET_lkg_5=high, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0095."
SIN_GATE_ET_lkg_5,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1216,2.0445,3.632,0.0993,0.1697,0.0704,5/5,"SIN_GATE_ET_lkg_5=high, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=low","SIN_GATE_ET_lkg_5=high, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0704."
SIN_GATE_ET_lkg_5,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1202,2.1001,0.948,0.1103,0.1279,0.0176,5/5,"SIN_GATE_ET_lkg_5=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high","SIN_GATE_ET_lkg_5=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0176."
TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1416,2.1262,0.723,0.094,0.108,0.014,5/5,"TFRP_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","TFRP_ET_Rc_TF_AB_2=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0140."
THIN_ET_C200_0,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1479,2.1345,0.624,0.0865,0.0989,0.0124,5/5,"THIN_ET_C200_0=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=low","THIN_ET_C200_0=low, TOPSIN_ET_C300=low, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0124."
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1094,2.092,0.825,0.1249,0.1392,0.0144,5/5,"CATHODE_ET_Rcat_cn_3_OW_ST=low, MEASURE_ET_lkg_10=low, THIN_ET_lkg_100_at20V=low","CATHODE_ET_Rcat_cn_3_OW_ST=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0144."
CATHODE_ET_Rcat_cn_3_OW_ST,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1126,2.0885,1.138,0.1214,0.141,0.0196,5/5,"CATHODE_ET_Rcat_cn_3_OW_ST=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","CATHODE_ET_Rcat_cn_3_OW_ST=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0196."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_Id_Vbon_min,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0665,2.0484,0.878,0.1608,0.1761,0.0153,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_DC_RF_Id_Vbon_min=high, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_DC_RF_Id_Vbon_min=low, TOPSIN_ET_lkg_C450pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0153."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.06,2.0342,1.25,0.1601,0.1807,0.0206,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0206."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0594,2.0392,0.98,0.1625,0.1781,0.0155,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_Rc_OG142_GN=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_Rc_OG142_GN=high, TOPSIN_ET_lkg_C450pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0155."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0725,2.0584,0.683,0.1521,0.1645,0.0124,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_Rc_cat_ct2_OW_ST=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_Rc_cat_ct2_OW_ST=high, TOPSIN_ET_lkg_C450pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0124."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0574,2.0216,1.739,0.163,0.1944,0.0314,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, MEASURE_ET_lkg_10=low, THIN_ET_lkg_100_at20V=high","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0314."
MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1751,2.1465,1.316,0.0643,0.0886,0.0243,5/5,"MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0243."
MEASURE_ET_lkg_C385pf,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1546,2.0942,2.803,0.0746,0.1303,0.0557,5/5,"MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_lkg_C385pf=high, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0557."
MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1404,2.1182,1.038,0.0934,0.1134,0.02,5/5,"MEASURE_ET_lkg_Cap_USV=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_Cap_USV=high, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0200."
MEASURE_ET_lkg_Cap_USV,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1564,2.0961,2.797,0.081,0.1306,0.0495,5/5,"MEASURE_ET_lkg_Cap_USV=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_lkg_Cap_USV=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0495."
MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1409,2.1194,1.008,0.0933,0.1117,0.0184,5/5,"MEASURE_ET_lkg_USV_Cap=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_USV_Cap=high, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0184."
OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1115,2.096,0.736,0.1174,0.1304,0.0131,5/5,"OHMIC_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=low","OHMIC_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0131."
MEASURE_ET_lkg_70_at20V,MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1761,2.1419,1.572,0.0659,0.0949,0.029,5/5,"MEASURE_ET_lkg_70_at20V=high, MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_70_at20V=high, MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0290."
MEASURE_ET_lkg_C300,MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.149,2.1221,1.255,0.0868,0.1088,0.022,5/5,"MEASURE_ET_lkg_C300=low, MEASURE_ET_lkg_Cap_USV=low, THIN_ET_TF_AB_2=low","MEASURE_ET_lkg_C300=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_TF_AB_2=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0220."
MEASURE_ET_lkg_C300,MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.135,2.1033,1.483,0.1001,0.1256,0.0255,5/5,"MEASURE_ET_lkg_C300=high, MEASURE_ET_lkg_USV_Cap=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_C300=high, MEASURE_ET_lkg_USV_Cap=high, THIN_ET_TF_AB_2=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0255."
MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1604,2.1211,1.818,0.0789,0.1109,0.0321,5/5,"MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0321."
MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1215,2.0702,2.42,0.1106,0.1522,0.0416,5/5,"MEASURE_ET_lkg_C300=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_lkg_C300=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0416."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0497,2.028,1.063,0.1745,0.192,0.0175,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, SIN_GATE_ET_Rc_an_ct2=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, SIN_GATE_ET_Rc_an_ct2=high, TOPSIN_ET_lkg_C450pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0175."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0327,2.0078,1.225,0.1809,0.2,0.0191,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_Rcat_cn_3=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_Rcat_cn_3=high, TOPSIN_ET_lkg_C450pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0191."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.0793,2.0447,1.664,0.1455,0.1764,0.0309,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_C450pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0309."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0269,1.9934,1.653,0.1881,0.2137,0.0256,5/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0256."
FIC_ET_Rc_f_hr_23,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0971,2.0741,1.099,0.1291,0.1466,0.0175,5/5,"FIC_ET_Rc_f_hr_23=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","FIC_ET_Rc_f_hr_23=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0175."
FIC_ET_Rc_f_hr_23,MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1023,2.0747,1.314,0.1268,0.1493,0.0225,5/5,"FIC_ET_Rc_f_hr_23=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low","FIC_ET_Rc_f_hr_23=high, MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0225."
MEASURE_ET_lkg_10,TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1396,2.1104,1.367,0.0956,0.1203,0.0248,5/5,"MEASURE_ET_lkg_10=low, TFRP_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high","MEASURE_ET_lkg_10=high, TFRP_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0248."
MEASURE_ET_lkg_10,THIN_ET_DC_RF_Vg_optt3,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1129,2.0811,1.508,0.1217,0.1478,0.0261,5/5,"MEASURE_ET_lkg_10=high, THIN_ET_DC_RF_Vg_optt3=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0261."
MEASURE_ET_lkg_10,THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1034,2.0752,1.341,0.1245,0.1481,0.0236,5/5,"MEASURE_ET_lkg_10=high, THIN_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, THIN_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0236."
MEASURE_ET_lkg_10,THIN_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.125,2.1018,1.089,0.1076,0.1282,0.0207,5/5,"MEASURE_ET_lkg_10=high, THIN_ET_Rc_cat_ct2=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, THIN_ET_Rc_cat_ct2=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0207."
MEASURE_ET_lkg_10,THIN_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1241,2.0877,1.712,0.1117,0.1421,0.0303,5/5,"MEASURE_ET_lkg_10=high, THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0303."
MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,a_chaining_confirmed_pairs,2.1297,2.1088,0.985,0.1059,0.124,0.0181,5/5,"MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapFICM1=low","MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapFICM1=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0181."
MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.159,2.0786,3.727,0.0791,0.1453,0.0663,5/5,"MEASURE_ET_lkg_10=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0663."
MEASURE_ET_lkg_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.161,2.1174,2.016,0.0809,0.1162,0.0353,5/5,"MEASURE_ET_lkg_10=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_lkg_10=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0353."
