feature_name,source_type,present_in_original_csv,source_columns,modeling_status,exclusion_reason,feature_family,correlation_cluster_id,correlation_cluster_size
FIC_ET_Bad_Gates,original raw CSV column (numeric predictor),yes,,included,,FIC,1,1
FIC_ET_C100S1,original raw CSV column (numeric predictor),yes,,included,,FIC,349,82
FIC_ET_C200_0S1,original raw CSV column (numeric predictor),yes,,included,,FIC,349,82
FIC_ET_C200S1,original raw CSV column (numeric predictor),yes,,included,,FIC,349,82
FIC_ET_FC_lin_4,original raw CSV column (numeric predictor),yes,,included,,FIC,854,1
FIC_ET_G_per_15,original raw CSV column (numeric predictor),yes,,included,,FIC,878,1
FIC_ET_G_per_25,original raw CSV column (numeric predictor),yes,,included,,FIC,675,1
FIC_ET_G_per_2p75K,original raw CSV column (numeric predictor),yes,,included,,FIC,210,1
FIC_ET_G_per_6K,original raw CSV column (numeric predictor),yes,,included,,FIC,142,1
FIC_ET_G2_per_6K,original raw CSV column (numeric predictor),yes,,included,,FIC,544,1
FIC_ET_Gate_res,original raw CSV column (numeric predictor),yes,,included,,FIC,153,1
FIC_ET_Gm_m2,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_Gm_max,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_GT_lin25,original raw CSV column (numeric predictor),yes,,included,,FIC,942,1
FIC_ET_HIRS,original raw CSV column (numeric predictor),yes,,included,,FIC,607,1
FIC_ET_Id_mAmm_at_Vd_cond,original raw CSV column (numeric predictor),yes,,included,,FIC,211,1
FIC_ET_Ids_m2,original raw CSV column (numeric predictor),yes,,included,,FIC,925,1
FIC_ET_Ig_mAmm_at_Vd_cond,original raw CSV column (numeric predictor),yes,,included,,FIC,883,1
FIC_ET_lkg_5,original raw CSV column (numeric predictor),yes,,included,,FIC,817,72
FIC_ET_lkg_SY07_10,original raw CSV column (numeric predictor),yes,,included,,FIC,817,72
FIC_ET_lkg_SY8_80,original raw CSV column (numeric predictor),yes,,included,,FIC,817,72
FIC_ET_OHMC,original raw CSV column (numeric predictor),yes,,included,,FIC,120,1
FIC_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,FIC,78,1
FIC_ET_R_f_hr_1,original raw CSV column (numeric predictor),yes,,included,,FIC,243,1
FIC_ET_R_f_hr_2,original raw CSV column (numeric predictor),yes,,included,,FIC,736,1
FIC_ET_R_f_hr_3,original raw CSV column (numeric predictor),yes,,included,,FIC,723,1
FIC_ET_R_f_tn_1,original raw CSV column (numeric predictor),yes,,included,,FIC,717,1
FIC_ET_R_f_tn_2,original raw CSV column (numeric predictor),yes,,included,,FIC,938,1
FIC_ET_R_f_tn_3,original raw CSV column (numeric predictor),yes,,included,,FIC,753,1
FIC_ET_R114,original raw CSV column (numeric predictor),yes,,included,,FIC,182,1
FIC_ET_R214,original raw CSV column (numeric predictor),yes,,included,,FIC,638,1
FIC_ET_R314,original raw CSV column (numeric predictor),yes,,included,,FIC,133,1
FIC_ET_Rc_f_hr_23,original raw CSV column (numeric predictor),yes,,included,,FIC,520,52
FIC_ET_Rc_f_tn_23,original raw CSV column (numeric predictor),yes,,included,,FIC,520,52
FIC_ET_Rc_OG142,original raw CSV column (numeric predictor),yes,,included,,FIC,520,52
FIC_ET_sh_f_hr_23,original raw CSV column (numeric predictor),yes,,included,,FIC,506,1
FIC_ET_sh_f_tn_23,original raw CSV column (numeric predictor),yes,,included,,FIC,74,1
FIC_ET_sh_GA142,original raw CSV column (numeric predictor),yes,,included,,FIC,374,1
FIC_ET_TANR,original raw CSV column (numeric predictor),yes,,included,,FIC,479,1
FIC_ET_TR_1F,original raw CSV column (numeric predictor),yes,,included,,FIC,835,1
FIC_ET_Vd_at_Id_cut_cond,original raw CSV column (numeric predictor),yes,,included,,FIC,985,1
FIC_ET_Vdg_max,original raw CSV column (numeric predictor),yes,,included,,FIC,467,1
FIC_ET_Vds_max,original raw CSV column (numeric predictor),yes,,included,,FIC,852,1
FIC_ET_Vg_gm_max,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_Vg_Vds_max,original raw CSV column (numeric predictor),yes,,included,,FIC,864,1
FIC_ET_Vp_1,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_PIV_Drain_Lag_0,original raw CSV column (numeric predictor),yes,,included,,FIC,801,11
FIC_ET_DC_PIV_Drain_Lag_1,original raw CSV column (numeric predictor),yes,,included,,FIC,801,11
FIC_ET_DC_PIV_Gate_Lag_0,original raw CSV column (numeric predictor),yes,,included,,FIC,801,11
FIC_ET_DC_PIV_Gate_Lag_1,original raw CSV column (numeric predictor),yes,,included,,FIC,801,11
FIC_ET_DC_PIV_Ids0_QP1,original raw CSV column (numeric predictor),yes,,included,,FIC,922,1
FIC_ET_DC_PIV_Ids0_QP2,original raw CSV column (numeric predictor),yes,,included,,FIC,469,1
FIC_ET_DC_PIV_Ids0_QP3,original raw CSV column (numeric predictor),yes,,included,,FIC,884,1
FIC_ET_DC_PIV_Ids1_QP1,original raw CSV column (numeric predictor),yes,,included,,FIC,962,1
FIC_ET_DC_PIV_Ids1_QP2,original raw CSV column (numeric predictor),yes,,included,,FIC,330,1
FIC_ET_DC_PIV_Ids1_QP3,original raw CSV column (numeric predictor),yes,,included,,FIC,137,1
FIC_ET_DC_RF_Gm_0,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Gm_m0p2,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Gm_max,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Id_gm_max,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Ids_m0p2,original raw CSV column (numeric predictor),yes,,included,,FIC,410,1
FIC_ET_DC_RF_Idss,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Imax,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_n_gd,original raw CSV column (numeric predictor),yes,,included,,FIC,218,1
FIC_ET_DC_RF_n_gs,original raw CSV column (numeric predictor),yes,,included,,FIC,683,1
FIC_ET_DC_RF_Vbgd_0p01,original raw CSV column (numeric predictor),yes,,included,,FIC,755,1
FIC_ET_DC_RF_Vbgd_0p1,original raw CSV column (numeric predictor),yes,,included,,FIC,759,1
FIC_ET_DC_RF_Vbgd1,original raw CSV column (numeric predictor),yes,,included,,FIC,799,1
FIC_ET_DC_RF_Vbgs_0p01,original raw CSV column (numeric predictor),yes,,included,,FIC,797,1
FIC_ET_DC_RF_Vbgs_0p1,original raw CSV column (numeric predictor),yes,,included,,FIC,765,1
FIC_ET_DC_RF_Vbgs1,original raw CSV column (numeric predictor),yes,,included,,FIC,821,1
FIC_ET_DC_RF_Vbin_gd,original raw CSV column (numeric predictor),yes,,included,,FIC,754,1
FIC_ET_DC_RF_Vbin_gs,original raw CSV column (numeric predictor),yes,,included,,FIC,775,1
FIC_ET_DC_RF_Vboff,original raw CSV column (numeric predictor),yes,,included,,FIC,730,1
FIC_ET_DC_RF_Vdg_max,original raw CSV column (numeric predictor),yes,,included,,FIC,203,1
FIC_ET_DC_RF_Vdg_max_0p1,original raw CSV column (numeric predictor),yes,,included,,FIC,701,1
FIC_ET_DC_RF_Vdg_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,FIC,157,1
FIC_ET_DC_RF_Vds_max,original raw CSV column (numeric predictor),yes,,included,,FIC,445,1
FIC_ET_DC_RF_Vds_max_0p1,original raw CSV column (numeric predictor),yes,,included,,FIC,21,1
FIC_ET_DC_RF_Vds_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,FIC,890,1
FIC_ET_DC_RF_Vg_gm_max,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Vg_max_Vd,original raw CSV column (numeric predictor),yes,,included,,FIC,31,1
FIC_ET_DC_RF_Vg_max_Vd_0p1,original raw CSV column (numeric predictor),yes,,included,,FIC,696,1
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,original raw CSV column (numeric predictor),yes,,included,,FIC,28,1
FIC_ET_DC_RF_Vg_optt,original raw CSV column (numeric predictor),yes,,included,,FIC,947,1
FIC_ET_DC_RF_Vg_optt1,original raw CSV column (numeric predictor),yes,,included,,FIC,430,1
FIC_ET_DC_RF_Vg_optt2,original raw CSV column (numeric predictor),yes,,included,,FIC,16,1
FIC_ET_DC_RF_Vg_optt3,original raw CSV column (numeric predictor),yes,,included,,FIC,665,1
FIC_ET_DC_RF_Vp_01,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Vp_1,original raw CSV column (numeric predictor),yes,,included,,FIC,557,199
FIC_ET_DC_RF_Vt_gd,original raw CSV column (numeric predictor),yes,,included,,FIC,869,1
FIC_ET_DC_RF_Vt_gs,original raw CSV column (numeric predictor),yes,,included,,FIC,856,1
FMESA_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,FMESA,215,1
FMESA_ET_Vbkd,original raw CSV column (numeric predictor),yes,,included,,FMESA,201,1
MEASURE_ET_ABVIETCH,original raw CSV column (numeric predictor),yes,,included,,MEASURE,152,1
MEASURE_ET_C_AN_2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,903,1
MEASURE_ET_C_AN_2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,MEASURE,147,1
MEASURE_ET_C_CAT_2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,150,1
MEASURE_ET_C_CAT_2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,MEASURE,845,1
MEASURE_ET_C100,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100C175pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100C300pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100C385pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100C500pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100Cap1pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100Cap2pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100Cap3pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100CapFICBRGM,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_C100CapFICM1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100CapM1BRGM,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_C100CapPARCAP,original raw CSV column (numeric predictor),yes,,included,,MEASURE,520,52
MEASURE_ET_C100CapUSV,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C100USV_Cappf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C175pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,708,1
MEASURE_ET_C175pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,830,1
MEASURE_ET_C20,original raw CSV column (numeric predictor),yes,,included,,MEASURE,609,1
MEASURE_ET_C20_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,141,1
MEASURE_ET_C200,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C200_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300FB,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300FB_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300FM1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300FM1_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300M1B,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300M1B_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C300pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_C385pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,452,1
MEASURE_ET_C385pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,837,1
MEASURE_ET_C500pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,326,1
MEASURE_ET_C500pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,608,1
MEASURE_ET_Cap_C300,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap_C300FB,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap_C300FM1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap_C300M1B,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap_USV,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap1pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap1pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap20,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap2pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap2pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap3pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Cap3pf_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_CapFICBRGM,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_CapFICBRGM_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_CapFICM1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_CapFICM1_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_CapM1BRGM,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_CapM1BRGM_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_CapPARCAP,original raw CSV column (numeric predictor),yes,,included,,MEASURE,520,52
MEASURE_ET_CapPARCAP_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,520,52
MEASURE_ET_CapUSV,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_CapUSV_0,original raw CSV column (numeric predictor),yes,,included,,MEASURE,349,82
MEASURE_ET_Er,original raw CSV column (numeric predictor),yes,,included,,MEASURE,622,1
MEASURE_ET_F_AB,original raw CSV column (numeric predictor),yes,,included,,MEASURE,457,1
MEASURE_ET_G_per_6K,original raw CSV column (numeric predictor),yes,,included,,MEASURE,443,1
MEASURE_ET_G2_per_6K,original raw CSV column (numeric predictor),yes,,included,,MEASURE,699,1
MEASURE_ET_Gate_res,original raw CSV column (numeric predictor),yes,,included,,MEASURE,826,1
MEASURE_ET_Gm_m2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_Gm_max,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_HIRS,original raw CSV column (numeric predictor),yes,,included,,MEASURE,46,1
MEASURE_ET_I_5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,693,1
MEASURE_ET_i5021_1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,191,1
MEASURE_ET_i5021_2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,82,1
MEASURE_ET_i5021_3,original raw CSV column (numeric predictor),yes,,included,,MEASURE,104,1
MEASURE_ET_Ids_m2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,213,1
MEASURE_ET_KLV_F_AB_4u,original raw CSV column (numeric predictor),yes,,included,,MEASURE,690,1
MEASURE_ET_lkg_10,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_100,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_100_at20V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_5,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_50,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_50_at20V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_70,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_70_at20V,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C175pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C20,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C200,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C300,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C300FB,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C300FM1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C300M1B,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C300pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C385pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_C500pf,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_Cap_USV,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_Cap1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_Cap2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_Cap3,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_CapFICBRGM,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_lkg_CapFICM1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_CapM1BRGM,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_lkg_CapPARCAP,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_CapUSV,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_PAD_10,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_SY07_10,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_SY8_80,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_lkg_USV_Cap,original raw CSV column (numeric predictor),yes,,included,,MEASURE,817,72
MEASURE_ET_OHMC,original raw CSV column (numeric predictor),yes,,included,,MEASURE,832,1
MEASURE_ET_OHMC_GN,original raw CSV column (numeric predictor),yes,,included,,MEASURE,454,1
MEASURE_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,MEASURE,110,1
MEASURE_ET_R_400_HOR,original raw CSV column (numeric predictor),yes,,included,,MEASURE,694,1
MEASURE_ET_R_400_VER,original raw CSV column (numeric predictor),yes,,included,,MEASURE,880,1
MEASURE_ET_R_4000_HOR,original raw CSV column (numeric predictor),yes,,included,,MEASURE,734,1
MEASURE_ET_R_4000_VER,original raw CSV column (numeric predictor),yes,,included,,MEASURE,223,1
MEASURE_ET_R_660_HOR,original raw CSV column (numeric predictor),yes,,included,,MEASURE,473,1
MEASURE_ET_R_660_VER,original raw CSV column (numeric predictor),yes,,included,,MEASURE,700,1
MEASURE_ET_R_f_hr_1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,70,1
MEASURE_ET_R_f_hr_2,original raw CSV column (numeric predictor),yes,,included,,MEASURE,627,1
MEASURE_ET_R_f_hr_3,original raw CSV column (numeric predictor),yes,,included,,MEASURE,978,1
MEASURE_ET_R_f_tn_1,original raw CSV column (numeric predictor),yes,,included,,MEASURE,79,1
