parameter_A,parameter_B,parameter_C,contrast_3way,max_2way_contrast_in_cube,adds_beyond_lower_order,"high_yield_region_(A,B,C)_bins",high_yield_mean,"low_yield_region_(A,B,C)_bins",low_yield_mean,min_cell_count,fold_sign_reproducibility,evidence_label,reason
BRGM_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.1312,0.322,False,"(1, 0, 0)",92.931,"(0, 1, 0)",90.432,122.0,3/5,MODERATE,
BRIDGE_METAL_Height_Final_TOP_metal_thickness,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0141,0.4903,False,"(1, 1, 0)",93.184,"(1, 0, 1)",90.437,115.0,2/3,WEAK,
BRIDGE_METAL_Height_Final_TOP_metal_thickness,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0712,0.4841,False,"(1, 1, 0)",92.913,"(1, 1, 1)",90.128,91.0,3/5,MODERATE,
BRIDGE_METAL_Height_Final_TOP_metal_thickness,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3871,0.0643,True,"(0, 0, 0)",93.669,"(1, 1, 1)",90.285,114.0,5/5,STRONG,
BRIDGE_METAL_Height_Final_TOP_metal_thickness,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1085,0.371,False,"(1, 0, 0)",93.536,"(1, 1, 1)",90.072,91.0,3/5,MODERATE,
BRIDGE_METAL_Height_Final_TOP_metal_thickness,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2145,0.2014,True,"(1, 0, 0)",92.795,"(1, 1, 1)",90.71,107.0,4/5,STRONG,
BRIDGE_METAL_Height_Final_TOP_metal_thickness,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.0657,0.1748,False,"(0, 0, 0)",93.202,"(0, 1, 1)",91.05,97.0,3/4,MODERATE,
CATHODE_ET_Rc_cat_ct2_OW_ST,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,-0.0538,0.5394,False,"(0, 1, 0)",93.447,"(1, 1, 1)",88.919,80.0,3/5,MODERATE,
CATHODE_ET_Rc_cat_ct2_OW_ST,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.0733,0.1102,False,"(0, 0, 0)",93.419,"(1, 1, 1)",90.679,111.0,2/4,WEAK,
CATHODE_ET_Rc_cat_ct2_OW_ST,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.1723,0.1616,True,"(0, 0, 0)",93.416,"(1, 1, 1)",90.409,60.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rc_cat_ct2_OW_ST,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.0126,0.285,False,"(0, 1, 0)",93.476,"(1, 0, 1)",90.001,42.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rc_cat_ct2_OW_ST,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1159,0.2686,False,"(0, 1, 0)",93.519,"(1, 1, 1)",90.217,64.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_1,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_lkg_C450pf,-0.3713,0.3459,True,"(0, 0, 0)",93.576,"(1, 1, 1)",89.286,89.0,4/4,STRONG,
CATHODE_ET_Rcat_cn_1,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,-0.3137,0.3053,True,"(0, 0, 0)",93.142,"(1, 1, 1)",90.026,59.0,1/1,WEAK,
CATHODE_ET_Rcat_cn_2,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_lkg_C450pf,-0.0707,0.2963,False,"(0, 0, 0)",93.516,"(1, 1, 1)",90.08,79.0,4/4,MODERATE,
CATHODE_ET_Rcat_cn_2,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0591,0.0133,True,"(0, 1, 0)",93.169,"(1, 0, 1)",90.756,114.0,1/4,WEAK,
CATHODE_ET_Rcat_cn_2,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0948,0.4078,False,"(0, 0, 0)",93.454,"(0, 1, 1)",90.051,108.0,2/5,WEAK,
CATHODE_ET_Rcat_cn_2,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0868,0.0282,True,"(0, 0, 0)",93.596,"(1, 1, 1)",90.384,127.0,4/5,STRONG,
CATHODE_ET_Rcat_cn_2,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1951,0.2849,False,"(0, 0, 0)",93.249,"(1, 1, 1)",90.199,63.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_2,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,0.0521,0.2328,False,"(0, 1, 0)",93.184,"(1, 1, 1)",90.251,66.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_2,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1036,0.0731,True,"(0, 0, 0)",93.199,"(1, 0, 1)",90.777,120.0,3/3,MODERATE,
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.0879,0.0235,True,"(0, 0, 0)",93.199,"(1, 1, 1)",90.788,105.0,3/5,MODERATE,
CATHODE_ET_Rcat_cn_2_OW_ST,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1208,0.3894,False,"(0, 0, 0)",93.408,"(1, 0, 1)",90.283,126.0,2/5,WEAK,
CATHODE_ET_Rcat_cn_2_OW_ST,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0864,0.4416,False,"(0, 0, 0)",93.07,"(1, 1, 1)",90.05,124.0,2/5,WEAK,
CATHODE_ET_Rcat_cn_2_OW_ST,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0446,0.1462,False,"(0, 0, 0)",93.316,"(1, 1, 1)",90.268,111.0,3/5,MODERATE,
CATHODE_ET_Rcat_cn_2_OW_ST,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1181,0.4595,False,"(0, 1, 0)",93.288,"(1, 1, 1)",89.915,44.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_2_OW_ST,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0751,0.1435,False,"(0, 0, 0)",93.094,"(1, 0, 1)",90.496,116.0,1/3,WEAK,
CATHODE_ET_Rcat_cn_2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.1165,0.15,False,"(0, 0, 0)",93.695,"(1, 1, 1)",90.443,100.0,5/5,MODERATE,
CATHODE_ET_Rcat_cn_3,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0976,0.3827,False,"(0, 0, 0)",93.146,"(1, 0, 1)",90.117,119.0,3/3,MODERATE,
CATHODE_ET_Rcat_cn_3,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1912,0.3944,False,"(0, 1, 0)",92.819,"(1, 1, 1)",90.216,103.0,5/5,MODERATE,
CATHODE_ET_Rcat_cn_3,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1656,0.3903,False,"(0, 0, 0)",93.288,"(1, 1, 1)",89.883,115.0,5/5,MODERATE,
CATHODE_ET_Rcat_cn_3,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1369,0.5216,False,"(1, 0, 0)",93.9,"(1, 1, 1)",89.886,52.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_3,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2908,0.3509,False,"(0, 1, 0)",93.085,"(1, 0, 1)",90.065,100.0,2/3,WEAK,
CATHODE_ET_Rcat_cn_3,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.228,0.3327,False,"(0, 0, 0)",93.437,"(1, 1, 1)",90.112,114.0,2/3,WEAK,
CATHODE_ET_Rcat_cn_3_OW_ST,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,-0.2302,0.6021,False,"(0, 1, 0)",93.183,"(1, 1, 1)",88.807,69.0,3/3,MODERATE,
CATHODE_ET_Rcat_cn_3_OW_ST,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_lkg_C450pf,-0.1639,0.339,False,"(0, 0, 0)",93.361,"(1, 1, 1)",89.816,87.0,2/3,WEAK,
CATHODE_ET_Rcat_cn_3_OW_ST,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3019,0.3106,False,"(0, 0, 0)",93.373,"(1, 0, 1)",90.755,126.0,4/5,MODERATE,
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.2422,0.1219,True,"(0, 1, 0)",93.234,"(1, 0, 1)",90.749,98.0,5/5,STRONG,
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0014,0.4571,False,"(0, 0, 0)",92.895,"(1, 1, 1)",89.986,98.0,2/5,WEAK,
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3055,0.1561,True,"(0, 0, 0)",93.465,"(1, 1, 1)",90.219,110.0,4/4,STRONG,
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.3133,0.589,False,"(1, 0, 0)",93.28,"(1, 1, 1)",90.365,59.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0934,0.6685,False,"(1, 0, 0)",94.201,"(1, 1, 1)",90.061,42.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.2172,0.5285,False,"(0, 1, 0)",93.519,"(1, 1, 1)",90.602,71.0,1/1,WEAK,
CATHODE_ET_Rcat_cn_3_OW_ST,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.1429,0.2899,False,"(0, 1, 0)",93.597,"(1, 1, 1)",90.504,75.0,1/1,WEAK,
CATHODE_ET_Rcat_cn_3_OW_ST,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,-0.1334,0.4331,False,"(0, 1, 0)",93.372,"(1, 1, 1)",90.126,59.0,0/0,INCONCLUSIVE,
CATHODE_ET_Rcat_cn_3_OW_ST,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2463,0.1061,True,"(0, 1, 0)",93.155,"(1, 0, 1)",90.759,131.0,5/5,STRONG,
CATHODE_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.0361,0.161,False,"(0, 0, 0)",93.346,"(1, 1, 1)",90.787,106.0,4/5,MODERATE,
CATHODE_ET_Rsh_cat_c2,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1419,0.2456,False,"(1, 1, 0)",93.185,"(1, 0, 1)",90.635,128.0,2/4,WEAK,
CATHODE_ET_Rsh_cat_c2,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1152,0.4644,False,"(1, 1, 0)",92.855,"(1, 1, 1)",90.191,111.0,2/5,WEAK,
CATHODE_ET_Rsh_cat_c2,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0918,0.2101,False,"(1, 0, 0)",93.132,"(1, 1, 1)",90.378,115.0,5/5,MODERATE,
CATHODE_ET_Rsh_cat_c2,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0687,0.3821,False,"(1, 0, 0)",93.97,"(1, 1, 1)",89.937,83.0,2/4,WEAK,
CATHODE_ET_Rsh_cat_c2,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0551,0.225,False,"(1, 0, 0)",93.064,"(1, 1, 1)",90.595,120.0,2/5,WEAK,
CATHODE_ET_Rsh_cat_c2,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.0587,0.2305,False,"(1, 0, 0)",92.881,"(1, 1, 1)",90.56,91.0,4/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_DC_RF_Ids_m0p2,THIN_ET_lkg_100_at20V,0.4074,0.509,False,"(1, 0, 0)",92.998,"(1, 0, 1)",89.414,111.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_Rc_f_hr_23,THIN_ET_lkg_100_at20V,-0.0879,0.5711,False,"(1, 0, 0)",93.059,"(1, 1, 1)",89.107,71.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_Rc_f_hr_23,TOPSIN_ET_lkg_C450pf,-0.1697,0.3089,False,"(0, 0, 0)",93.536,"(1, 1, 1)",89.804,72.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_Rc_f_tn_23,THIN_ET_lkg_100_at20V,-0.1096,0.5871,False,"(1, 0, 0)",93.05,"(1, 1, 1)",88.61,63.0,3/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,FIC_ET_Rc_f_tn_23,TOPSIN_ET_lkg_C450pf,-0.1468,0.3001,False,"(0, 0, 0)",93.518,"(1, 1, 1)",89.549,65.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C100CapPARCAP,THIN_ET_lkg_100_at20V,-0.3273,0.7255,False,"(1, 0, 0)",93.299,"(1, 1, 1)",87.663,61.0,1/1,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C100CapPARCAP,TOPSIN_ET_lkg_C450pf,-0.2711,0.3803,False,"(0, 0, 0)",93.581,"(1, 1, 1)",89.036,81.0,2/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C300M1B_0,THIN_ET_lkg_100_at20V,0.0133,0.5047,False,"(1, 0, 0)",93.231,"(1, 0, 1)",89.97,97.0,0/4,INCONCLUSIVE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_C300pf,THIN_ET_lkg_100_at20V,0.1504,0.5498,False,"(1, 0, 0)",93.421,"(1, 0, 1)",89.401,99.0,2/4,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_CapPARCAP,THIN_ET_lkg_100_at20V,-0.0076,0.5044,False,"(1, 0, 0)",93.244,"(1, 1, 1)",89.665,86.0,3/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_CapPARCAP,TOPSIN_ET_lkg_C450pf,-0.0409,0.2623,False,"(0, 0, 0)",93.506,"(1, 1, 1)",90.197,75.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_CapPARCAP_0,THIN_ET_lkg_100_at20V,-0.2017,0.5692,False,"(0, 0, 0)",92.966,"(1, 1, 1)",88.535,94.0,4/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_CapUSV,THIN_ET_lkg_100_at20V,-0.0207,0.4403,False,"(1, 0, 0)",93.423,"(1, 1, 1)",89.973,80.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_Big_S11dB_10GHz,THIN_ET_lkg_100_at20V,0.0969,0.5038,False,"(1, 1, 0)",93.041,"(1, 0, 1)",89.883,118.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF2_S22ang_26GHz,THIN_ET_lkg_100_at20V,0.2761,0.4894,False,"(1, 1, 0)",93.095,"(1, 0, 1)",89.398,109.0,3/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.1135,0.6023,False,"(1, 0, 0)",93.072,"(1, 0, 1)",89.291,85.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_lkg_C450pf,0.2506,0.4257,False,"(1, 0, 0)",93.171,"(1, 0, 1)",89.423,92.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_Gm_m0p2,THIN_ET_lkg_100_at20V,-0.1071,0.5928,False,"(1, 0, 0)",93.116,"(1, 0, 1)",90.058,90.0,3/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_Gm_m0p2,TOPSIN_ET_lkg_C450pf,-0.0545,0.453,False,"(1, 0, 0)",93.141,"(1, 0, 1)",90.057,91.0,3/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_Gm_m0p2_W,THIN_ET_lkg_100_at20V,0.0456,0.5351,False,"(1, 0, 0)",93.245,"(1, 1, 1)",90.24,81.0,2/4,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_Id_Vbon_min,TOPSIN_ET_lkg_C450pf,-0.3138,0.3225,False,"(1, 1, 0)",93.117,"(1, 0, 1)",90.29,116.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_S11ang_10GHz,THIN_ET_lkg_100_at20V,-0.0655,0.4658,False,"(1, 0, 0)",92.968,"(1, 1, 1)",89.827,96.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_S11ang_10GHz,TOPSIN_ET_lkg_C450pf,-0.2069,0.2977,False,"(1, 1, 0)",92.861,"(1, 1, 1)",89.886,102.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_RF_S11ang_26GHz_W,THIN_ET_lkg_100_at20V,0.188,0.4889,False,"(1, 0, 0)",93.172,"(1, 0, 1)",89.811,93.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_SEC_Gm_0,THIN_ET_lkg_100_at20V,0.0016,0.5667,False,"(1, 0, 0)",93.041,"(1, 0, 1)",89.93,88.0,1/4,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_DC_SEC_Idss,THIN_ET_lkg_100_at20V,-0.2004,0.5671,False,"(1, 1, 0)",92.94,"(1, 1, 1)",90.23,81.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Ran_con_3,THIN_ET_lkg_100_at20V,-0.0649,0.5072,False,"(1, 0, 0)",93.034,"(1, 1, 1)",89.985,106.0,4/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_F_AB_2,THIN_ET_lkg_100_at20V,0.1279,0.4721,False,"(1, 0, 0)",93.308,"(1, 0, 1)",90.234,75.0,2/2,WEAK,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.3086,0.6083,False,"(0, 0, 0)",93.373,"(1, 1, 1)",88.541,72.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,-0.2456,0.34,False,"(0, 0, 0)",93.615,"(1, 1, 1)",89.474,81.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_OG144,TOPSIN_ET_lkg_C450pf,-0.1206,0.3781,False,"(0, 0, 0)",93.252,"(1, 1, 1)",89.334,62.0,0/1,INCONCLUSIVE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,-0.1617,0.5878,False,"(1, 1, 0)",92.918,"(1, 1, 1)",89.371,86.0,4/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,-0.2124,0.3597,False,"(0, 0, 0)",93.292,"(1, 1, 1)",89.837,83.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1207,0.5911,False,"(1, 0, 0)",93.245,"(1, 1, 1)",88.73,73.0,3/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,-0.0607,0.6499,False,"(1, 0, 0)",92.948,"(1, 1, 1)",88.803,73.0,3/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C450pf,-0.1347,0.3654,False,"(0, 0, 0)",92.984,"(1, 1, 1)",89.681,83.0,3/3,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_cat_ct2_OW_ST,THIN_ET_lkg_100_at20V,-0.1468,0.5874,False,"(1, 0, 0)",93.246,"(1, 1, 1)",88.855,69.0,4/4,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_lkg_C450pf,-0.1315,0.3455,False,"(0, 0, 0)",93.37,"(1, 1, 1)",89.562,72.0,5/5,MODERATE,
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_Rcat_cn_1,TOPSIN_ET_lkg_C450pf,-0.3042,0.2934,True,"(0, 0, 0)",93.674,"(1, 1, 1)",89.44,66.0,2/2,WEAK,
