parameter_A,parameter_B,shap_interaction_strength,h_statistic_strength,n_methods_agreeing,fold_reproducibility,evidence_label,reason
MEASURE_ET_DC_RF_K_W,MEASURE_ET_DC_RF2_MAG_26GHz,0.007907872169324353,0.14138090608030449,2,3/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 3/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,FIC_ET_DC_RF_Vbgs_0p01,0.007443755196832003,,1,4/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 4/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_DC_RF2_MAG_26GHz,0.0073054705953054305,,1,4/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 4/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_VIA_KLV,MEASURE_ET_lkg_50_at20V,0.00629688952868598,,1,4/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 4/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_RF_K_W,MaskSetSupplyChipsCount,0.006102227470319069,0.17471139150995688,2,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Stress_Id_stress_before,0.019150450642750217,0.19315764575564456,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_ABVIETCH,0.015639408655253317,0.1970171422463775,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_C100Cap1pf,FIC_ET_G_per_25,0.014662441819133964,0.2834811040931406,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_Rc_an_ct2_OW_CR,SIN_ET_DC_RF_Vbin_gs,0.014129962490276418,0.22727410499570222,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.012666424192682438,0.20264011114501138,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_R_f_hr_3,ANODE_ET_Rc_an_ct2_OW_CR,0.009912863661925078,0.387502212176774,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_lkg_50_at20V,0.007846709720822317,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,0.0077762786115658,0.131390407526496,2,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_C100Cap1pf,ANODE_ET_Rc_an_ct2_OW_CR,0.007703057690005286,,1,3/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 3/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_C100Cap1pf,OHMIC_ET_Rsh_an_ct2,0.007331112874197083,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,MEASURE_ET_DC_Big_S12dB_10GHz,0.007300302516640028,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_Stress_Id_stress_before,0.007079841796431627,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_K_W,0.006964996563224295,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF2_MAG_26GHz,0.0069104157318112605,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_DC_Big_S12dB_10GHz,0.006047756873873885,,1,2/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 2/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_Cap3pf_0,MEASURE_ET_RF_Modeling_Mag_d,,0.23815434646334394,1,3/5,MODERATE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 3/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_DC_PIV_Drain_Lag_0,MaskSetSupplyChipsCount,0.007623352952823863,0.25988962229935075,2,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,THIN_ET_DC_RF_Vbgs_0p01,0.0069359462830077025,0.14138697335643655,2,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF_K_W,0.006048926183825345,,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_RF2_MAG_26GHz,ANODE_ET_Rc_an_ct2_OW_CR,0.005937271515888746,,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_Rc_an_ct2_OW_CR,0.005936238287534642,,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_DC_PIV_Drain_Lag_0,FIC_ET_Probe_Number,0.005922327003525094,,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
FIC_ET_DC_PIV_Drain_Lag_1,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,,0.19078833947230034,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_RF2_MAG_26GHz,FIC_ET_Bad_Gates,,0.16076735859921032,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,TOPSIN_ET_lkg_5,,0.199800454339791,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_lkg_5,TOPSIN_ET_Cap3pf_0,,0.21245308975771537,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
FIC_ET_DC_RF_Vg_max_Vd,MEASURE_ET_DC_RF2_S22dB_26GHz,,0.13188215471618395,1,1/5,WEAK,Appeared in top-40 out-of-fold SHAP-interaction ranking in 1/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_lkg_5,0.007752277162079492,,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_R_f_hr_3,MEASURE_ET_Rc_an_ct2_OW_CR,0.006914296790511734,0.14539630848932925,2,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,TOPSIN_ET_C100Cap2pf,0.00634855683472985,0.12826951245970047,2,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,MEASURE_ET_DC_Stress_Id_stress_before,0.005988353345953639,,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
CATHODE_ET_Rcat_cn_2,FIC_ET_Gm_max,,0.13610303871660742,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_lkg_5,FIC_ET_Gm_max,,0.2481437521386,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
FIC_ET_Gm_max,TOPSIN_ET_Rc_f_tn_23,,0.22539832396159953,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_R_f_hr_3,MaskSetSupplyChipsCount,,0.13001231916120565,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MaskSetSupplyChipsCount,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,,0.189746277299899,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
FIC_ET_DC_RF_Vg_max_Vd,MaskSetSupplyChipsCount,,0.1465218292127418,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_VIA_KLV,MEASURE_ET_DC_Big_Vg_optt2,,0.16107575140825503,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,FIC_ET_DC_RF_Vbgs_0p01,,0.14657481788708057,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
THIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_lkg_5,,0.14995737504252823,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,,0.15684457449185182,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_RF_Modeling_Mag_d,ANODE_ET_Rc_an_ct2_OW_CR,,0.18847621302805048,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,FIC_ET_Probe_Number,,0.1523079893170695,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_DC_PIV_Drain_Lag_0,FIC_ET_Bad_Gates,,0.1303271303740323,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
MEASURE_ET_DC_PIV_Ids0_QP1,FIC_ET_DC_RF_Vbgs_0p01,,0.16196805727412755,1,0/5,INCONCLUSIVE,Appeared in top-40 out-of-fold SHAP-interaction ranking in 0/5 folds; found by only one of the two interaction-detection methods on the held-out set.
